keys,en,nl,de
t40a1167c06,Our scanner requires more information to work by itself.,Onze scanner heeft nog meer gegevens nodig om zonder onze hulp te kunnen werken.,
tb307f0c742,"There will be other objects beside apples, as you can already see.","Er komen nu ook andere objecten, zoals je kunt zien.",
t6419a9d48f,"I have to leave you for a bit, but your task stays the same.","Ik moet er vandoor, kun jij het even alleen?",
t03ea879b45,Pass the object through if you think it looks good.,Stuur het object door als je denkt dat het er goed uitziet.,
t4ce1c099e4,One more thing before I go.,Nog één ding:,
t8b060eb7d2,We expect you to perform with at least 40% accuracy on this assessment.,Wij verwachten dat je ten minste 40 procent van de producten goed beoordeeld!,
t45065c2fc6,That's why there will be another person double-checking after you.,"Daarom staat er een andere persoon naast je, die jouw antwoorden controleert.",
t6753e48ec1,They'll keep track of how well you're doing so far.,Ook krijg je te horen hoe goed je het doet.,
td0ae9dcc21,I will be back. Good luck with your efforts!,Ik kom later terug. Veel succes!,
tb809640476,"Hi, I'm back.","Hoi, ik ben er weer.",
t7cfb9a3567,It seems that you successfully labelled all the data.,Het lijkt erop dat we alle data nu goed ingevoerd hebben.,
t618302792b,We've passed it to the scanner and run our first series of tests.,We hebben het naar de scanner gestuurd en de eerste tests uitgevoerd.,
t162c7b57d9,And it works!,En het werkt!,
t028752734e,That means that we can move to the next stage.,Dat betekent dat we naar de volgende fase kunnen gaan.,
tb5bcf2d265,We're going to look at something called decision trees.,We gaan iets bekijken dat beslisbomen heet.,
t4788b63a1f,It's something that our scanner created and now uses to check the objects.,Het is iets wat onze scanner heeft gemaakt en nu gebruikt om de objecten te controleren.,
t41c8d0fb43,"Once we look at them, we'll be able to see how our smart scanner works.","Zodra we ernaar kijken, zullen we zien hoe onze slimme scanner werkt.",
t7e4d3d3b08,"Hi, I'm back.","Hallo, ik ben terug.",
tf4fa8a39b8,It seems that you were unfortunately unable to accurately assess our objects.,Het lijkt erop dat je helaas niet in staat was om onze objecten nauwkeurig te beoordelen.,
tb8f0334412,"While I do understand that the task may have been difficult at times, I think that this job is not suitable for you.","Hoewel ik begrijp dat de taak soms moeilijk kan zijn, denk ik dat deze baan niet geschikt voor je is.",
tae8f7c9a01,So I'm afraid we'll have to part our ways here.,Dus ik vrees dat we uit elkaar moeten gaan.,
t061cae8269,Goodbye.,Vaarwel.,
t18bd23c212,I don't think that's the right answer...,Ik denk niet dat dat het juiste antwoord is...,
t72577d0c5c,"Hi, it's me again.","Hallo, ik ben er weer.",
tcfec615402,I was informed that I can actually see your progress over the cameras.,Ik kreeg te horen dat ik je voortgang kan zien via de camera's.,
t2fe96baad4,"Technology, huh...","Technologie, hé...",
t4fa5f3ec86,I see that you just made a mistake with the last object.,Ik zie dat je zojuist een fout hebt gemaakt met het laatste object.,
t87502c0173,"Well, don't worry about that too much!","Nou, maak je daar niet te veel zorgen over!",
t29353eb391,Just look a bit harder next time.,Kijk de volgende keer iets beter.,
tb991d559ae,Good luck! You can do this!,Veel succes! Je kunt dit!,
t6a6342b821,"Hi, it's me again.","Hallo, ik ben het weer.",
t15f486d54c,I was informed that I can actually see your progress over the cameras.,Ik kreeg te horen dat ik je voortgang in realtime kan zien via de camera's.,
t0203ce3771,"Technology, huh...","Technologie, hé...",
t8b1ea47aef,"Anyway, I saw that your last answer was correct. Good job!","Hoe dan ook, ik zag dat je laatste antwoord juist was. Goed gedaan!",
t55006e5c10,Keep it up and see you later again!,Ga zo door en tot later!,
ta3c7358946,"Hello, this is me again.","Hallo, hier ben ik weer.",
tcacb990097,It seems like you made a lot of mistakes.,Het lijkt erop dat je wat veel fouten hebt gemaakt.,
t47c4bd6dcb,It is important to be more careful with your answers from this point on.,Het is belangrijk om vanaf nu zorgvuldiger te zijn met je antwoorden.,
t54e9b2a025,You can do this if you put in the effort! Good luck!,Je kunt dit als je je best doet! Succes!,
